,Blasts_cyt_area_median,Blasts_nuc_area_median,Blasts_nuc_perimeter_median,Blasts_nuc_solidity_median,Blasts_nuc_eccentricity_median,Blasts_nuc_compactness_median,Blasts_cell_area_median,Blasts_cell_perimeter_median,Blasts_cell_solidity_median,Blasts_cell_eccentricity_median,Blasts_cell_compactness_median,Blasts_cell_N:C-ratio_median,Blasts_cyt_area_95_range,Blasts_nuc_area_95_range,Blasts_nuc_perimeter_95_range,Blasts_nuc_solidity_95_range,Blasts_nuc_eccentricity_95_range,Blasts_nuc_compactness_95_range,Blasts_cell_area_95_range,Blasts_cell_perimeter_95_range,Blasts_cell_solidity_95_range,Blasts_cell_eccentricity_95_range,Blasts_cell_compactness_95_range,Blasts_cell_N:C-ratio_95_range,Erythroblasts_cyt_area_median,Erythroblasts_nuc_area_median,Erythroblasts_nuc_perimeter_median,Erythroblasts_nuc_solidity_median,Erythroblasts_nuc_eccentricity_median,Erythroblasts_nuc_compactness_median,Erythroblasts_cell_area_median,Erythroblasts_cell_perimeter_median,Erythroblasts_cell_solidity_median,Erythroblasts_cell_eccentricity_median,Erythroblasts_cell_compactness_median,Erythroblasts_cell_N:C-ratio_median,Erythroblasts_cyt_area_95_range,Erythroblasts_nuc_area_95_range,Erythroblasts_nuc_perimeter_95_range,Erythroblasts_nuc_solidity_95_range,Erythroblasts_nuc_eccentricity_95_range,Erythroblasts_nuc_compactness_95_range,Erythroblasts_cell_area_95_range,Erythroblasts_cell_perimeter_95_range,Erythroblasts_cell_solidity_95_range,Erythroblasts_cell_eccentricity_95_range,Erythroblasts_cell_compactness_95_range,Erythroblasts_cell_N:C-ratio_95_range,Neutrophils_cyt_area_median,Neutrophils_nuc_area_median,Neutrophils_nuc_perimeter_median,Neutrophils_nuc_solidity_median,Neutrophils_nuc_eccentricity_median,Neutrophils_nuc_compactness_median,Neutrophils_cell_area_median,Neutrophils_cell_perimeter_median,Neutrophils_cell_solidity_median,Neutrophils_cell_eccentricity_median,Neutrophils_cell_compactness_median,Neutrophils_cell_N:C-ratio_median,Neutrophils_cyt_area_95_range,Neutrophils_nuc_area_95_range,Neutrophils_nuc_perimeter_95_range,Neutrophils_nuc_solidity_95_range,Neutrophils_nuc_eccentricity_95_range,Neutrophils_nuc_compactness_95_range,Neutrophils_cell_area_95_range,Neutrophils_cell_perimeter_95_range,Neutrophils_cell_solidity_95_range,Neutrophils_cell_eccentricity_95_range,Neutrophils_cell_compactness_95_range,Neutrophils_cell_N:C-ratio_95_range,Living_cells-Blasts_proportion,Living_cells-Erythroblasts_proportion,Living_cells-Neutrophils_proportion,Living_cells-Granulopoetic_cells_proportion,Living_cells-Erythropoetic_cells_proportion,Living_cells-Granulocytes_proportion,Living_cells-APL_proportion,Blasts-HYPERGRANULATED_proportion,Blasts-BILOBED_proportion,Blasts-AUER_proportion,APL-HYPERGRANULATED_proportion,APL-BILOBED_proportion,APL-AUER_proportion,Erythroblasts-ASYNCHRONY_proportion,Erythroblasts-DYSMORPHIC_proportion,Erythroblasts-MITOTIC_proportion,Blasts-VACUOLI_proportion,Neutrophils-VACUOLI_proportion
Sample_1,2981.494140625,8447.9501953125,353.0340576171875,0.964226245880127,0.6396301984786987,0.8182158470153809,11364.1875,405.98175048828125,0.9811022281646729,0.5725106000900269,0.8513927459716797,0.7389999628067017,5368.368792724607,8288.14604492187,233.50811576843262,0.2457809016108513,0.5502641633152962,0.4059373140335083,12843.73039550779,253.13916320800774,0.2295794457197189,0.49318882972002026,0.3362294644117355,0.28054617941379545,2808.193359375,2059.876708984375,179.22055053710938,1.0,0.42997464537620544,0.8895057439804077,5110.66455078125,285.5110168457031,0.9683220982551575,0.5883379578590393,0.8429595232009888,0.42911297082901,3496.8048095703125,3558.1434326171875,169.2443904876709,0.18740993738174438,0.4270072989165783,0.2753994017839432,4646.3082275390625,148.08894729614258,0.28600750863552094,0.5674943327903748,0.3327708840370178,0.49591465666890144,,,,,,,,,,,,,,,,,,,,,,,,,0.6116504854368932,0.3883495145631068,0.0,0.0,0.3883495145631068,0.0,0.6116504854368932,0.037037037037037035,0.23809523809523808,0.0,0.037037037037037035,0.23809523809523808,0.0,0.041666666666666664,0.0,0.0,0.1693121693121693,
Sample_10,3947.98828125,8723.681640625,369.5488586425781,0.9526396989822388,0.5856825113296509,0.8180225491523743,11964.6640625,430.5627136230469,1.0,0.5362482070922852,0.8509011268615723,0.6972007751464844,10303.386889648436,11579.704907226554,250.72146759033194,0.21154150813817973,0.5703836634755135,0.3702086120843887,17701.360534667954,377.0317916870117,0.18029770553112034,0.5375469535589218,0.3364395260810852,0.3512396618723869,3428.904541015625,3102.702880859375,212.8094024658203,0.997551679611206,0.4402078688144684,0.9105623364448547,7162.36083984375,330.01422119140625,0.9704539775848389,0.6179232001304626,0.8131088018417358,0.4734818935394287,5304.050830078125,6342.3697753906235,229.36119995117184,0.19992470741271973,0.5599603444337843,0.3313903689384461,8710.402246093749,250.75374755859374,0.2150437831878662,0.5119681656360626,0.3431251049041747,0.5387550055980682,6029.6708984375,6898.39892578125,348.7757568359375,0.9689304232597351,0.7052948474884033,0.7124744057655334,12254.2353515625,407.8511047363281,0.9492161870002747,0.44142428040504456,0.8608596920967102,0.5579961538314819,6592.53466796875,5872.3428955078125,274.4021759033203,0.29722172021865845,0.36767587065696716,0.5342479646205902,8234.490234375,149.60520935058594,0.20705974102020264,0.4307250678539276,0.32578012347221375,0.4524911791086197,0.4973544973544973,0.3915343915343915,0.1111111111111111,0.1111111111111111,0.3915343915343915,0.1111111111111111,0.4973544973544973,0.0,0.2765957446808511,0.0,0.0,0.2765957446808511,0.0,0.19594594594594594,0.006756756756756757,0.04054054054054054,0.2393617021276596,0.19047619047619047
Sample_100,4006.4423828125,9258.1650390625,381.1102294921875,0.968578577041626,0.5896289348602295,0.8186620473861694,14175.751953125,461.4307556152344,0.974722146987915,0.5268423557281494,0.8373992443084717,0.6940747499465942,9989.090881347656,10048.7705078125,223.92718505859375,0.20784129202365875,0.6496649757027626,0.3522242531180382,17799.77734375,338.94388580322266,0.18083469569683075,0.5758751481771469,0.3557712063193321,0.38314372673630714,2352.875,2247.645751953125,173.80377197265625,0.9943159818649292,0.3756107687950134,0.9154940247535706,4432.9287109375,263.4696350097656,0.9679213762283325,0.5469262003898621,0.817188560962677,0.5272573828697205,1985.1550842285155,7835.613847351073,202.7965934753418,0.20813418924808502,0.4866103978827593,0.27120472043752675,9205.243121337891,213.17465782165516,0.23312914371490479,0.5865754932165146,0.29976957887411115,0.4540225222706794,5066.5703125,6086.474609375,344.0164794921875,0.9031534194946289,0.6748440265655518,0.6930614709854126,10263.443359375,381.6958312988281,0.9974027276039124,0.45096680521965027,0.8587526082992554,0.5189064741134644,5838.7193786621065,5531.309490966793,195.5712516784668,0.3362503528594971,0.4037126719951627,0.5852235421538352,9126.871801757808,176.7443939208984,0.22321027815341954,0.43235395029187196,0.30516478568315497,0.3371732488274574,0.6402266288951841,0.17847025495750707,0.1813031161473088,0.1813031161473088,0.17847025495750707,0.1813031161473088,0.6402266288951841,0.03982300884955752,0.2610619469026549,0.004424778761061947,0.03982300884955752,0.2610619469026549,0.004424778761061947,0.0,0.0,0.0,0.2345132743362832,0.03125
Sample_11,4172.2021484375,10659.734375,407.4738464355469,0.9972981214523315,0.6338680982589722,0.8103890419006348,14311.85546875,476.52142333984375,1.0,0.6062042713165283,0.8165290951728821,0.7354215383529663,7400.369686889645,11827.155932617186,273.72136306762684,0.1528505519032478,0.48397313430905337,0.32570278644561756,17285.805200195304,348.15751342773433,0.181728421151638,0.42949071526527405,0.3532270595431327,0.3279076620936393,2563.48828125,2245.210693359375,181.31088256835938,0.9849482774734497,0.3748776912689209,0.889451265335083,4827.35400390625,277.20062255859375,0.967251181602478,0.49477535486221313,0.8468266725540161,0.5005313158035278,4673.203419494625,6186.783386230467,241.5691606521606,0.1770887315273285,0.4122958663851023,0.301590022444725,9426.8506652832,250.10266647338864,0.19975230246782305,0.6505874298512935,0.3335504814982414,0.5680087594315409,4503.50244140625,5169.09716796875,386.7137451171875,0.878186821937561,0.6507815718650818,0.47191324830055237,10546.744140625,420.52587890625,0.9869687557220459,0.5173649191856384,0.8441592454910278,0.5103728771209717,5556.631298828124,3640.349365234375,371.138949584961,0.39899562597274785,0.3681535840034485,0.6818543136119842,6965.65751953125,177.00108642578124,0.16011040210723881,0.3546243607997894,0.28166184425354,0.3414204597473144,0.22255192878338279,0.6468842729970327,0.13056379821958458,0.13056379821958458,0.6468842729970327,0.13056379821958458,0.22255192878338279,0.013333333333333334,0.0,0.0,0.013333333333333334,0.0,0.0,0.04128440366972477,0.0,0.0,0.10666666666666667,0.0
Sample_12,3485.28564453125,11453.6611328125,384.0191650390625,1.0,0.567466139793396,0.8768563270568848,15208.6826171875,405.3668518066406,0.8874556422233582,0.4601145088672638,0.8300874829292297,0.7350755929946899,8618.018505859374,15648.27685546875,193.44440307617185,0.19972960948944096,0.4825352668762207,0.23172417879104612,24053.0888671875,260.1571533203125,0.14881581664085386,0.474343478679657,0.20841293931007387,0.14890130758285525,2708.3896484375,3038.884521484375,211.65966796875,0.9909654259681702,0.4074975550174713,0.8848739862442017,5378.7041015625,286.82794189453125,0.9731354117393494,0.5437459945678711,0.8356249928474426,0.5270242094993591,7130.612646484375,7146.58955078125,196.70797271728517,0.2020358443260193,0.4931588292121889,0.23925942182540894,12982.481591796877,303.37335510253905,0.20746375322341915,0.5336266398429871,0.3543072581291199,0.46214101314544676,4300.64453125,6113.0810546875,390.09100341796875,0.8402678966522217,0.7289682626724243,0.49236613512039185,10480.38671875,397.12384033203125,0.9459367990493774,0.5207180976867676,0.8580760359764099,0.5741238594055176,4175.833441162109,6003.125701904297,387.4999473571775,0.32215106934309,0.3485564962029457,0.5717681549489498,6238.117773437498,198.14224319457992,0.19767100512981417,0.588905994221568,0.2638344630599022,0.3809422776103019,0.08668730650154799,0.5356037151702786,0.37770897832817335,0.37770897832817335,0.5356037151702786,0.37770897832817335,0.08668730650154799,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.046242774566473986,0.046242774566473986,0.0,0.07142857142857142,0.05737704918032787
Sample_13,6100.19970703125,11203.4375,416.507568359375,0.9397054314613342,0.5980672836303711,0.7821129560470581,16897.232421875,501.4017333984375,0.9848872423171997,0.5592867732048035,0.8517464399337769,0.6605944037437439,10452.604379272458,13031.720263671874,255.00188980102536,0.18987558931112292,0.7030020803213115,0.41626225709915154,19707.80102539062,299.0110603332519,0.20147054046392443,0.6064042627811431,0.3551443457603455,0.35456364005804053,2524.97119140625,2245.87060546875,184.53622436523438,0.9864195585250854,0.37824252247810364,0.887047529220581,4885.4072265625,267.99249267578125,0.9791514873504639,0.5555226802825928,0.8568582534790039,0.5033069849014282,2697.0819641113276,4541.6265762329085,180.92081775665272,0.19353194236755367,0.5772546593099832,0.27689648419618607,7157.489056396471,165.20187072753907,0.22523917853832243,0.6059113897383213,0.3526177510619163,0.5673659645020962,4964.240234375,5426.779296875,392.58734130859375,0.8379257917404175,0.6751406192779541,0.5136302709579468,10411.447265625,400.1871032714844,1.0,0.378818154335022,0.896706223487854,0.5407266020774841,4060.320196533203,3515.6368835449207,196.43367691040038,0.3623974323272705,0.47105079144239426,0.48986050933599434,4367.5492187499985,159.3753402709961,0.18305048495531084,0.36837596893310515,0.2757202118635178,0.28213578686118124,0.38819875776397517,0.43478260869565216,0.17701863354037267,0.17701863354037267,0.43478260869565216,0.17701863354037267,0.38819875776397517,0.0,0.536,0.008,0.0,0.536,0.008,0.014285714285714285,0.0,0.02857142857142857,0.344,0.017543859649122806
Sample_14,4041.13232421875,9491.2841796875,368.053466796875,0.992838978767395,0.5860981345176697,0.748569130897522,13123.8125,434.0776672363281,0.9526270627975464,0.5489501357078552,0.8237355947494507,0.695340096950531,6539.06982421875,6467.108056640623,164.9231170654295,0.25403728485107424,0.7312188506126401,0.2749134182929992,10983.561865234367,251.33700866699218,0.19434314072132108,0.5855394542217254,0.3459015876054764,0.36553830504417417,2403.0498046875,2123.796875,181.44943237304688,0.9939430952072144,0.4379131495952606,0.9064644575119019,5355.26123046875,275.92132568359375,0.9954850077629089,0.5475939512252808,0.848941445350647,0.49974560737609863,4321.193212890624,5381.902984619138,212.75182037353503,0.19616246819496153,0.46359239220619197,0.2768983125686646,7527.259033203123,227.22952270507804,0.21686527729034422,0.6998950004577629,0.35511714220046997,0.567395034432411,5598.880859375,5692.78271484375,358.5315856933594,0.8707807064056396,0.7501890063285828,0.5608329176902771,10871.900390625,404.3070068359375,0.9123008251190186,0.5422524213790894,0.8727107644081116,0.523993194103241,3445.5267089843755,3673.6787109375005,234.62709350585942,0.4120043635368347,0.5289086818695068,0.5528032809495926,4947.561328125001,198.62167968749998,0.21815057992935183,0.43123795688152317,0.3236832737922668,0.2704760730266571,0.3717105263157895,0.5098684210526315,0.11842105263157894,0.11842105263157894,0.5098684210526315,0.11842105263157894,0.3717105263157895,0.0,0.46017699115044247,0.035398230088495575,0.0,0.46017699115044247,0.035398230088495575,0.03870967741935484,0.0,0.0064516129032258064,0.24778761061946902,0.0
Sample_15,5620.0078125,9333.552734375,384.5765380859375,0.9873536229133606,0.6873034238815308,0.8472551703453064,16180.619140625,494.97308349609375,0.9587620496749878,0.4793896973133087,0.8813897371292114,0.6356088519096375,5065.104626464843,8111.537976074218,180.6364158630371,0.26346095204353337,0.4356325797736645,0.24074850827455518,12275.698754882813,199.69064025878907,0.28235793113708496,0.35730686411261564,0.26804405897855765,0.20732626840472224,2760.587890625,3085.108642578125,218.63699340820312,0.9797389507293701,0.3825920820236206,0.8993117809295654,5725.15234375,295.5777282714844,0.9705781936645508,0.49380064010620117,0.8430584669113159,0.5095176696777344,4213.333529663087,5984.746701049806,173.9049797058106,0.17542301267385485,0.5244152531027794,0.3051920160651207,8606.1673828125,231.61450653076173,0.21594513803720472,0.6046249981969597,0.28601619154214863,0.331617696583271,5591.640625,5681.310546875,369.3253173828125,0.8863354325294495,0.7846418619155884,0.5669657588005066,11021.189453125,404.97216796875,0.9875098466873169,0.4730459153652191,0.8846402764320374,0.5308578014373779,7198.554785156248,5570.210791015623,210.03542480468752,0.3117178678512573,0.4721029877662658,0.5227422058582305,6247.6275390625,201.48095703125,0.19187815189361568,0.6008362114429473,0.24571287631988525,0.4646269381046295,0.17786561264822134,0.35968379446640314,0.4624505928853755,0.4624505928853755,0.35968379446640314,0.4624505928853755,0.17786561264822134,0.0,0.3111111111111111,0.0,0.0,0.3111111111111111,0.0,0.054945054945054944,0.0,0.07692307692307693,0.06666666666666667,0.11965811965811966
Sample_16,4637.599609375,9954.2421875,395.7232360839844,0.9395391941070557,0.5851312875747681,0.7859784960746765,15269.724609375,484.1128234863281,0.9435522556304932,0.5724326968193054,0.8233240246772766,0.6983892917633057,6452.497607421874,13499.391186523435,295.35214385986313,0.21228373050689697,0.48171444535255437,0.34683304131031034,16232.148999023437,353.8082817077636,0.19864698350429533,0.4790401719510555,0.3333838939666748,0.43348018229007723,2570.53173828125,2674.2607421875,196.9344482421875,0.9760884046554565,0.3621743321418762,0.8981372117996216,5359.9619140625,281.8041076660156,0.9708192348480225,0.563217282295227,0.8652554750442505,0.5176180601119995,3620.982003784179,5382.429260253904,168.67288417816155,0.254371064901352,0.4427171543240547,0.31190137863159184,7013.477075195313,196.0135017395019,0.21932938843965533,0.456893744319677,0.3761137053370476,0.43707141727209087,5146.3837890625,6359.25830078125,417.4419250488281,0.801352858543396,0.6638329029083252,0.48850351572036743,11375.2197265625,402.80926513671875,0.9688400030136108,0.41026613116264343,0.8797186613082886,0.551482081413269,3775.3599243164062,3711.001007080078,354.74404525756836,0.31140803545713425,0.44724610820412636,0.5206252131611109,5265.9354248046875,175.37230682373047,0.1469850018620491,0.47936588153243065,0.2540791854262352,0.24795753881335258,0.288135593220339,0.4576271186440678,0.2542372881355932,0.2542372881355932,0.4576271186440678,0.2542372881355932,0.288135593220339,0.0,0.07058823529411765,0.023529411764705882,0.0,0.07058823529411765,0.023529411764705882,0.044444444444444446,0.0,0.05185185185185185,0.35294117647058826,0.013333333333333334
Sample_17,2764.00732421875,9032.5927734375,361.9290466308594,0.9926709532737732,0.580715537071228,0.8264874219894409,11865.7607421875,417.0169982910156,0.9966327548027039,0.5531782507896423,0.8605915307998657,0.760817289352417,7267.627355957031,8970.14556884766,253.55485458374028,0.23641017824411392,0.45066578611731545,0.4096244171261787,12920.083654785163,256.4529075622559,0.24739884883165364,0.5068230405449868,0.27618488967418664,0.3266786769032478,2123.31298828125,2159.5517578125,181.10751342773438,0.9921398758888245,0.41217079758644104,0.9021866917610168,4291.673828125,256.1770324707031,0.9840874671936035,0.5590614676475525,0.8394762277603149,0.5356787443161011,4199.959970092767,6898.080320739743,209.17092781066893,0.17235037535429,0.5519975215196607,0.2761737048625946,9233.785791015616,220.2977725982665,0.20533666312694554,0.6353260457515715,0.3377985209226608,0.5728371214121576,,,,,,,,,,,,,,,,,,,,,,,,,0.3355263157894737,0.6578947368421053,0.006578947368421052,0.006578947368421052,0.6578947368421053,0.006578947368421052,0.3355263157894737,0.029411764705882353,0.18627450980392157,0.0,0.029411764705882353,0.18627450980392157,0.0,0.005,0.0,0.0,0.0,
